text	curie	name	scope	type	provenance	contributor	date	language	comment	source
1,3-dimethylurate	chebi:133726	1,3-dimethylurate anion	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
abema	mesh:C000590451	abemaciclib	oboInOwl:hasExactSynonym			0000-0001-9439-5346		en		biosynonyms
adaptor protein cbl	interpro:IPR024162	Adaptor protein Cbl	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
Angiotensin-2	chebi:48432	angiotensin II	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
ATPase	eccode:3.6.1.3	adenosinetriphosphatase	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
ATPase	hgnc.genegroup:412	ATPases	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
cell apoptosis	go:0006915	apoptotic process	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
chronic inflammation	symp:0020026	chronic inflammation	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
IFN-\\u03b3	hgnc:5438	IFNG	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
IFN-\u03b3	hgnc:5438	IFNG	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
IL-1\\u03b2	hgnc:5992	IL1B	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
IL-1\u03b2	hgnc:5992	IL1B	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
immune cells	cl:0000738	leukocyte	oboInOwl:hasExactSynonym	OMO:0003004		0000-0003-4423-4370		en		biosynonyms
inflammatory responses	go:0006954	inflammatory response	oboInOwl:hasExactSynonym	OMO:0003004		0000-0003-4423-4370		en		biosynonyms
neurodegeneration	hp:0002180	Neurodegeneration	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
neuroinflammation	hp:0033429	Neuroinflammation	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
NLRP3 inflammasome	complexportal:CPX-4141	NLRP3 inflammasome	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
phosphatidylinositol (3,4,5) P3	chebi:16618	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	oboInOwl:hasExactSynonym		pubmed:29695532	0000-0003-4423-4370	2022-05-09	en		biosynonyms
PI(3,4,5)P3	chebi:16618	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	oboInOwl:hasExactSynonym		pubmed:29623928,pubmed:20817957,pubmed:18931680,pubmed:28443090	0000-0003-4423-4370	2022-05-09	en		biosynonyms
TNF-\\u03b1	hgnc:11892	TNF	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en	for situations when the escaping in the text is incorrect, and the unicode character string for beta is raw	biosynonyms
TNF-\u03b1	hgnc:11892	TNF	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
YAL021C	sgd:S000000019	CCR4	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
YDL160C	sgd:S000002319	DHH1	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
YGL122C	sgd:S000003090	NAB2	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
YNL209W	sgd:S000005153	SSB2	oboInOwl:hasExactSynonym			0000-0003-4423-4370		en		biosynonyms
